Name,date,MMSI,CallSign,ImoNumber ,Destination,Eta mois,Eta day,Eta hour,Eta minutes,Type of vessel,DimensionA,DimensionB,DimensionC,DimensionD
MPOSS,2023-03-24 08:14:03.557161+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
MPOSS,2023-03-24 08:14:03.602094+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
HAKUNAMA ,2023-03-24 08:14:03.604421+00:00,244250440,PF8793,0, NL AMSTERD ,1,1,0,0,37,7,12,2,4
NORMAND TANTALUS    ,2023-03-24 08:14:03.632901+00:00,257940000,LAFC8  ,9575620,GBABD               ,2,27,20,30,90,25,57,11,6
ANTERO DE QUENTAL,2023-03-24 08:14:03.639312+00:00,263701460,CSKP,0, ,1,19,12,34,60,19,30,6,6
HOPETOUN,2023-03-24 08:14:03.699652+00:00,232002720,MWVX6,9140865,HOUND POINT,0,0,0,0,52,20,23,6,8
GEULBORG,2023-03-24 08:14:03.718893+00:00,245943000,PEHA,9518232,NLAMS,3,23,19,0,70,88,12,7,7
AGIOS NEKTARIOS     ,2023-03-24 08:14:03.737623+00:00,636019457,A8VQ8  ,9515759,RUULU               ,3,19,13,5,70,161,29,23,9
GEULBORG,2023-03-24 08:14:03.758348+00:00,245943000,PEHA,9518232,NLAMS,3,23,19,0,70,88,12,7,7
GEULBORG,2023-03-24 08:14:03.759151+00:00,245943000,PEHA,9518232,NLAMS,3,23,19,0,70,88,12,7,7
CORE IMPERIAL       ,2023-03-24 08:14:03.759815+00:00,374778000,3FQM4  ,9860740,NEW ORLEANS         ,3,23,8,0,70,171,28,11,21
PODEROSO I          ,2023-03-24 08:14:03.764313+00:00,725004222,CA8694 ,9890848,CLSAI               ,1,1,17,0,52,16,16,9,4
EEMSHORN            ,2023-03-24 08:14:03.769958+00:00,244703000,PHNY   ,9393278,NOPOR               ,3,25,18,0,79,98,13,7,7
P64,2023-03-24 08:14:03.794201+00:00,244820847,,0,TRIALS,12,19,0,0,99,11,9,3,3
TSEFEY,2023-03-24 08:14:03.799391+00:00,273295390,UBZW4,9207819,NORWEGIAN SEA,3,18,16,0,30,22,29,6,5
VIKTOR,2023-03-24 08:14:03.802190+00:00,257007260,LK9916,0,,0,0,0,0,70,2,10,3,3
UTNEFJORD,2023-03-24 08:14:03.806373+00:00,257086190,LFKB,9848376,KVANNDAL-UTNE,3,21,12,34,60,37,42,7,8
TOR,2023-03-24 08:14:03.822324+00:00,273555000,UCSJ,8862002,NEZ,3,16,13,50,30,22,31,2,8
SEAJACKS SCYLLA,2023-03-24 08:14:03.825724+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
TSEFEY,2023-03-24 08:14:03.826273+00:00,273295390,UBZW4,9207819,NORWEGIAN SEA,3,18,16,0,30,22,29,6,5
HAKUNAMA ,2023-03-24 08:14:03.827182+00:00,244250440,PF8793,0, NL AMSTERD ,1,1,0,0,37,7,12,2,4
VIKTOR,2023-03-24 08:14:03.828311+00:00,257007260,LK9916,0,,0,0,0,0,70,2,10,3,3
UTNEFJORD,2023-03-24 08:14:03.829768+00:00,257086190,LFKB,9848376,KVANNDAL-UTNE,3,21,12,34,60,37,42,7,8
EEMSHORN            ,2023-03-24 08:14:03.830614+00:00,244703000,PHNY   ,9393278,NOPOR               ,3,25,18,0,79,98,13,7,7
TOR,2023-03-24 08:14:03.831125+00:00,273555000,UCSJ,8862002,NEZ,3,16,13,50,30,22,31,2,8
TSEFEY,2023-03-24 08:14:03.850708+00:00,273295390,UBZW4,9207819,NORWEGIAN SEA,3,18,16,0,30,22,29,6,5
VIKTOR,2023-03-24 08:14:03.852737+00:00,257007260,LK9916,0,,0,0,0,0,70,2,10,3,3
UTNEFJORD,2023-03-24 08:14:03.853178+00:00,257086190,LFKB,9848376,KVANNDAL-UTNE,3,21,12,34,60,37,42,7,8
TOR,2023-03-24 08:14:03.854027+00:00,273555000,UCSJ,8862002,NEZ,3,16,13,50,30,22,31,2,8
P64,2023-03-24 08:14:03.856648+00:00,244820847,,0,TRIALS,12,19,0,0,99,11,9,3,3
CARGILL TUCUNARE,2023-03-24 08:14:03.858544+00:00,710001957,PO2475,0,STM,3,23,8,30,52,277,23,13,17
SEA FROST,2023-03-24 08:14:03.866508+00:00,210637000,5BXM3,9656735,PETERHEAD,3,23,7,0,90,13,76,10,10
SEA FROST,2023-03-24 08:14:03.906957+00:00,210637000,5BXM3,9656735,PETERHEAD,3,23,7,0,90,13,76,10,10
SEA ECHO            ,2023-03-24 08:14:03.913803+00:00,244905000,PHLP   ,9444663,BEZEE               ,2,18,10,0,52,7,16,4,4
P64,2023-03-24 08:14:03.916560+00:00,244820847,,0,TRIALS,12,19,0,0,99,11,9,3,3
P64,2023-03-24 08:14:03.940970+00:00,244820847,,0,TRIALS,12,19,0,0,99,11,9,3,3
SEA ECHO            ,2023-03-24 08:14:03.946692+00:00,244905000,PHLP   ,9444663,BEZEE               ,2,18,10,0,52,7,16,4,4
FLORIDA             ,2023-03-24 08:14:03.973173+00:00,367368480,WDE5561,0,SAVANNAH            ,8,22,12,30,52,10,20,4,4
SEAJACKS SCYLLA,2023-03-24 08:14:04.018179+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
MZF BIBER,2023-03-24 08:14:04.020338+00:00,211014176,DA4176,0,246000,1,26,0,0,33,0,0,0,0
SEAJACKS SCYLLA,2023-03-24 08:14:04.023837+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
MPOSS,2023-03-24 08:14:04.024492+00:00,211290760,DBCZ,8862674,HAMBURG,2,9,17,0,99,28,6,10,2
GURE AMUITZ   ,2023-03-24 08:14:04.024908+00:00,224010590,EASO,9227663,,0,0,24,60,30,14,14,3,3
RUSADIR,2023-03-24 08:14:04.062851+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
SEAJACKS SCYLLA,2023-03-24 08:14:04.064984+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
INDEPENDENT,2023-03-24 08:14:04.070547+00:00,244182422,PF5980,0,HAVEN VAN CUIJK,3,24,12,16,80,85,0,5,5
INDEPENDENT,2023-03-24 08:14:04.074389+00:00,244182422,PF5980,0,HAVEN VAN CUIJK,3,24,12,16,80,85,0,5,5
MADRID              ,2023-03-24 08:14:04.075747+00:00,374759000,3EHV7  ,9647887,RUMMK               ,3,21,21,45,70,151,27,6,22
INDEPENDENT,2023-03-24 08:14:04.120342+00:00,244182422,PF5980,0,HAVEN VAN CUIJK,3,24,12,16,80,85,0,5,5
MV GRUMMAN,2023-03-24 08:14:04.123317+00:00,367866000,NNLG,8511500,0,0,0,24,55,0,141,66,15,15
MAGNOLIA SEAWAYS,2023-03-24 08:14:04.129763+00:00,219455000,OWKY2,9259496,GB FXT <> NL RTM,3,24,15,0,79,103,97,15,15
EENDRACHT           ,2023-03-24 08:14:04.130229+00:00,244543000,PDVN   ,8814275,FRBES               ,3,23,16,0,36,43,16,6,6
MAGNOLIA SEAWAYS,2023-03-24 08:14:04.169378+00:00,219455000,OWKY2,9259496,GB FXT <> NL RTM,3,24,15,0,79,103,97,15,15
EXPECTO,2023-03-24 08:14:04.170045+00:00,244010950,PA2637,0,DOETINCHEM,3,8,11,0,79,55,0,4,4
EXPECTO,2023-03-24 08:14:04.171219+00:00,244010950,PA2637,0,DOETINCHEM,3,8,11,0,79,55,0,4,4
MASTERY D           ,2023-03-24 08:14:04.173155+00:00,636092240,A8ZB5  ,9301201,GBIMM               ,3,27,0,0,70,144,11,10,11
MASTERY D           ,2023-03-24 08:14:04.173481+00:00,636092240,A8ZB5  ,9301201,GBIMM               ,3,27,0,0,70,144,11,10,11
COPENHAGEN          ,2023-03-24 08:14:04.174256+00:00,220614000,OUOH2  ,9327487,AARHUS              ,3,24,18,0,80,68,22,4,11
EXPECTO,2023-03-24 08:14:04.178998+00:00,244010950,PA2637,0,DOETINCHEM,3,8,11,0,79,55,0,4,4
SEAJACKS SCYLLA,2023-03-24 08:14:04.246562+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
CAPTAIN Z,2023-03-24 08:14:04.256628+00:00,210087000,5BPV5,8529791,FLISVOS,9,12,10,30,37,21,13,3,4
TWILIGHT III PZ137  ,2023-03-24 08:14:04.283466+00:00,232005780,MHDS4  ,0,NEWLYN              ,3,23,16,30,30,0,0,0,0
PRINSES MAXIMA,2023-03-24 08:14:04.284550+00:00,244130293,PD4876,0,IJMUIDEN[[[[@@@8,3,24,10,30,69,46,10,6,2
MASTERY D           ,2023-03-24 08:14:04.292304+00:00,636092240,A8ZB5  ,9301201,GBIMM               ,3,27,0,0,70,144,11,10,11
MASTERY D           ,2023-03-24 08:14:04.292593+00:00,636092240,A8ZB5  ,9301201,GBIMM               ,3,27,0,0,70,144,11,10,11
MARELD,2023-03-24 08:14:04.351906+00:00,265588260,SLDE,0,,0,0,24,60,0,15,4,3,3
URD                 ,2023-03-24 08:14:04.353932+00:00,219000776,OUYL2  ,7826855,SENRR>FIHKO>SENRR   ,3,24,7,30,69,30,141,19,1
MULTI VISION,2023-03-24 08:14:04.355838+00:00,258012800,LGOH,9923669,RAUDEBERG,3,18,17,30,90,15,4,4,4
PARCIVAL,2023-03-24 08:14:04.357848+00:00,244770514,PC3324,0,BREEZANDDIJK,9,19,5,30,79,37,8,5,5
AIKATERINI K        ,2023-03-24 08:14:04.360733+00:00,352001310,3E4043 ,9381407,ES CEU              ,3,24,16,0,70,93,15,4,13
PARCIVAL,2023-03-24 08:14:04.416848+00:00,244770514,PC3324,0,BREEZANDDIJK,9,19,5,30,79,37,8,5,5
CETUS               ,2023-03-24 08:14:04.422386+00:00,257076300,LFFK   ,9836024,UNDERWAY            ,3,21,12,34,30,34,31,2,12
QUEENSFERRY         ,2023-03-24 08:14:04.427579+00:00,232026545,MGWR9  ,9885491,HOUND POINT         ,3,1,0,0,52,7,17,12,0
SAN FRANCESCO,2023-03-24 08:14:04.431104+00:00,247270900,ICHM,9448918,GENOVA,11,2,12,0,80,60,14,7,7
NEPTUNE             ,2023-03-24 08:14:04.483561+00:00,205105000,ORUH   ,0,1622                ,11,28,4,15,54,10,5,3,4
JOHANNA ENGELINA,2023-03-24 08:14:04.501340+00:00,244670013,PD 3242,0,ENHUIZEN,0,0,24,60,0,30,8,2,5
JOHANNA ENGELINA,2023-03-24 08:14:04.559292+00:00,244670013,PD 3242,0,ENHUIZEN,0,0,24,60,0,30,8,2,5
HVL MARITIME,2023-03-24 08:14:04.560378+00:00,257127680,LJ3BZ,0,                   ,1,1,1,1,99,25,25,0,50
MZF BIBER,2023-03-24 08:14:04.604865+00:00,211014176,DA4176,0,246000,1,26,0,0,33,0,0,0,0
JOHANNA ENGELINA,2023-03-24 08:14:04.679487+00:00,244670013,PD 3242,0,ENHUIZEN,0,0,24,60,0,30,8,2,5
NEPTUNE             ,2023-03-24 08:14:04.703719+00:00,205105000,ORUH   ,0,1622                ,11,28,4,15,54,10,5,3,4
GERMAINE            ,2023-03-24 08:14:04.773020+00:00,671299100,5VIE6  ,7914482,MIAMI               ,3,11,1,0,90,7,45,9,3
MOONSHADOW,2023-03-24 08:14:04.776308+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
BRUSOEYSKJAER       ,2023-03-24 08:14:04.816871+00:00,257404000,LFTO   ,9281994,,0,0,24,60,30,25,20,6,6
VONAR               ,2023-03-24 08:14:04.832461+00:00,257582600,LMCJ   ,9282754,TLF 004770307135    ,0,0,24,60,30,0,49,0,11
ARKLOW VIEW,2023-03-24 08:14:04.834308+00:00,244870189,PDDU,9772539,REKEFJORD,3,24,9,30,70,75,12,7,8
CETUS               ,2023-03-24 08:14:04.835054+00:00,257076300,LFFK   ,9836024,UNDERWAY            ,3,21,12,34,30,34,31,2,12
CSAVER,2023-03-24 08:14:04.838984+00:00,257099960,LFXM,9884514,FISHFARMS,3,21,12,34,79,4,14,7,3
BRUSOEYSKJAER       ,2023-03-24 08:14:04.840182+00:00,257404000,LFTO   ,9281994,,0,0,24,60,30,25,20,6,6
VONAR               ,2023-03-24 08:14:04.841590+00:00,257582600,LMCJ   ,9282754,TLF 004770307135    ,0,0,24,60,30,0,49,0,11
ARKLOW VIEW,2023-03-24 08:14:04.855512+00:00,244870189,PDDU,9772539,REKEFJORD,3,24,9,30,70,75,12,7,8
CETUS               ,2023-03-24 08:14:04.855873+00:00,257076300,LFFK   ,9836024,UNDERWAY            ,3,21,12,34,30,34,31,2,12
CSAVER,2023-03-24 08:14:04.857331+00:00,257099960,LFXM,9884514,FISHFARMS,3,21,12,34,79,4,14,7,3
BRUSOEYSKJAER       ,2023-03-24 08:14:04.857941+00:00,257404000,LFTO   ,9281994,,0,0,24,60,30,25,20,6,6
VONAR               ,2023-03-24 08:14:04.858716+00:00,257582600,LMCJ   ,9282754,TLF 004770307135    ,0,0,24,60,30,0,49,0,11
ARKLOW VIEW,2023-03-24 08:14:04.859151+00:00,244870189,PDDU,9772539,REKEFJORD,3,24,9,30,70,75,12,7,8
CETUS               ,2023-03-24 08:14:04.859819+00:00,257076300,LFFK   ,9836024,UNDERWAY            ,3,21,12,34,30,34,31,2,12
CSAVER,2023-03-24 08:14:04.860763+00:00,257099960,LFXM,9884514,FISHFARMS,3,21,12,34,79,4,14,7,3
NEW FRIENDSHIP,2023-03-24 08:14:04.886800+00:00,636018294,D5PB6,9249180,UST LUGA,3,27,9,0,80,202,42,16,26
NEW FRIENDSHIP,2023-03-24 08:14:04.911941+00:00,636018294,D5PB6,9249180,UST LUGA,3,27,9,0,80,202,42,16,26
NEW FRIENDSHIP,2023-03-24 08:14:04.917076+00:00,636018294,D5PB6,9249180,UST LUGA,3,27,9,0,80,202,42,16,26
BOSPHORE,2023-03-24 08:14:04.946581+00:00,226007020,FM5261,0,,0,0,0,0,79,125,10,4,8
F/V LARCHE,2023-03-24 08:14:04.956567+00:00,227382000,FVEV,8324531,VHF16,0,0,0,0,30,19,15,6,1
MAERSK KATE         ,2023-03-24 08:14:04.957016+00:00,566582000,9V6044 ,9431276,NLRMSEANCHORAGE     ,3,14,19,0,80,150,33,14,13
KONTROLER 20  ,2023-03-24 08:14:04.984103+00:00,261027110,SPG4029,0,      ,1,21,13,20,9,16,6,3,3
BOSPHORE,2023-03-24 08:14:04.988027+00:00,226007020,FM5261,0,,0,0,0,0,79,125,10,4,8
PILOT L-139         ,2023-03-24 08:14:05.038801+00:00,230125910,OJ-3545,0,HELSINKI PILOT CH 71,0,0,24,60,50,10,6,2,2
REPLOT 2            ,2023-03-24 08:14:05.040334+00:00,230938210,OF 2244,8634766,GALTBY NORRSKATA    ,0,0,24,60,60,0,0,0,0
RAVENNA,2023-03-24 08:14:05.062414+00:00,244660905,PD3844,0,HEROS SLUISKIL BV,3,24,3,21,70,123,12,7,5
EXCELLENCE BARONESS ,2023-03-24 08:14:05.063154+00:00,211498150,DJ4194 ,0,BASEL               ,3,26,8,0,99,8,102,9,3
MZF BIBER,2023-03-24 08:14:05.063712+00:00,211014176,DA4176,0,246000,1,26,0,0,33,0,0,0,0
RIO CARONI,2023-03-24 08:14:05.065457+00:00,775331000,YYGK,8204456,PTO ORDAZ,12,30,19,0,70,202,39,18,20
MY FLEUR            ,2023-03-24 08:14:05.121478+00:00,229727000,9HB8542,0,CANNES              ,3,20,13,0,37,21,15,5,3
IMANDRA,2023-03-24 08:14:05.175186+00:00,273137400,UCJY,8953409,MURMANSK,9,8,22,0,90,87,44,2,16
FLEUR,2023-03-24 08:14:05.176189+00:00,244630393,PH6576 ,0,WELPLAATHAVEN BOTLEK,3,22,9,36,99,102,8,2,10
BOSPHORE,2023-03-24 08:14:05.179223+00:00,226007020,FM5261,0,,0,0,0,0,79,125,10,4,8
FLEUR,2023-03-24 08:14:05.179831+00:00,244630393,PH6576 ,0,WELPLAATHAVEN BOTLEK,3,22,9,36,99,102,8,2,10
BLACK PEARL,2023-03-24 08:14:05.181056+00:00,244187490,PG2533,0,ANTWERPEN,7,2,0,52,37,10,10,2,3
NEW FRIENDSHIP,2023-03-24 08:14:05.224194+00:00,636018294,D5PB6,9249180,UST LUGA,3,27,9,0,80,202,42,16,26
PAVO J,2023-03-24 08:14:05.320834+00:00,305055000,V2CN7,9355458,NLRTM,3,24,1,0,79,17,122,17,5
MOONSHADOW,2023-03-24 08:14:05.321315+00:00,319887000,ZCIG8,1007419,KAAG,10,8,14,30,37,20,23,3,6
MAIKE D,2023-03-24 08:14:05.328373+00:00,636092635,D5IL7,9226372,GBGRG,3,23,14,15,70,119,14,13,5
COLOR HYBRID,2023-03-24 08:14:05.328580+00:00,257465000,LEXD,9824289,NO SAD>SE SMD_NO SAD,3,24,11,30,60,50,110,17,16
NEW FRIENDSHIP,2023-03-24 08:14:05.328768+00:00,636018294,D5PB6,9249180,UST LUGA,3,27,9,0,80,202,42,16,26
HVL MARITIME,2023-03-24 08:14:05.333202+00:00,257127680,LJ3BZ,0,                   ,1,1,1,1,99,25,25,0,50
VELOX,2023-03-24 08:14:05.333818+00:00,259514000,LMQW,9317066,FLOROE,3,21,18,0,52,17,20,7,7
WILSON GRIP         ,2023-03-24 08:14:05.334600+00:00,314550000,8PBB7  ,9126912,MO I RANA           ,3,24,21,0,79,75,13,6,7
BAKKE JR            ,2023-03-24 08:14:05.372430+00:00,259537000,LJIJ   ,0,TLF:48232878        ,0,0,24,60,30,6,15,3,4
PAVO J,2023-03-24 08:14:05.373232+00:00,305055000,V2CN7,9355458,NLRTM,3,24,1,0,79,17,122,17,5
PAVO J,2023-03-24 08:14:05.379030+00:00,305055000,V2CN7,9355458,NLRTM,3,24,1,0,79,17,122,17,5
WILSON GRIP         ,2023-03-24 08:14:05.379467+00:00,314550000,8PBB7  ,9126912,MO I RANA           ,3,24,21,0,79,75,13,6,7
NORDSEE,2023-03-24 08:14:05.380104+00:00,211224140,DBEM,7504108,DE WVN              ,3,28,7,0,90,43,88,12,12
WILSON GRIP         ,2023-03-24 08:14:05.397836+00:00,314550000,8PBB7  ,9126912,MO I RANA           ,3,24,21,0,79,75,13,6,7
PELIKAAN            ,2023-03-24 08:14:05.399319+00:00,244670757,PH4159 ,0,HARLINGEN           ,6,13,17,0,60,30,0,3,3
PELIKAAN            ,2023-03-24 08:14:05.401605+00:00,244670757,PH4159 ,0,HARLINGEN           ,6,13,17,0,60,30,0,3,3
TRIDENT             ,2023-03-24 08:14:05.405171+00:00,367760890,WDJ2703,1270788,US^0J1M>0JL2,0,0,24,60,52,18,18,8,4
COLOR HYBRID,2023-03-24 08:14:05.436634+00:00,257465000,LEXD,9824289,NO SAD>SE SMD_NO SAD,3,24,11,30,60,50,110,17,16
PILOT BOAT SERVUS 4 ,2023-03-24 08:14:05.446874+00:00,219016781,OX2663 ,0,GEDSER PILOT        ,0,0,24,60,50,10,5,3,1
LUTECE,2023-03-24 08:14:05.449545+00:00,226007760,FM5912,0,,0,0,0,0,20,6,68,3,3
TENNOR OCEAN,2023-03-24 08:14:05.486307+00:00,211879090,DMCQ,9925655,SEA TRIAL / FLENSBUR,3,2,7,0,79,137,72,13,13
UNITY ODYSSEY       ,2023-03-24 08:14:05.493056+00:00,311001132,C6FK6  ,9668934,ROCND               ,3,13,15,0,70,153,26,21,9
ACACIA SEAWAYS,2023-03-24 08:14:05.527579+00:00,277574000,LYBX,9809112,NL VLA <> GB FXT,3,24,10,40,71,137,73,13,13
LUTECE,2023-03-24 08:14:05.530687+00:00,226007760,FM5912,0,,0,0,0,0,20,6,68,3,3
SCF LA PEROUSE      ,2023-03-24 08:14:05.543751+00:00,636019530,D5UX6  ,9849887,NORTH SEA FOR ORDERS,3,24,19,1,84,233,67,24,22
FUTURA PRIMA,2023-03-24 08:14:05.624059+00:00,247147270,IRJV,8693140,MARE.PESCA         ,0,0,24,60,30,8,28,4,4
MAGNOLIA SEAWAYS,2023-03-24 08:14:05.646304+00:00,219455000,OWKY2,9259496,GB FXT <> NL RTM,3,24,15,0,79,103,97,15,15
SEAJACKS SCYLLA,2023-03-24 08:14:05.721870+00:00,356068000,3FSA3,9698939,AMSTERDAM,3,1,7,0,79,11,129,2,48
RUSADIR,2023-03-24 08:14:05.754904+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RUSADIR,2023-03-24 08:14:05.755406+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
RUSADIR,2023-03-24 08:14:05.756063+00:00,210329000,5BWW5,9832119,GDANSK,3,23,14,30,69,61,126,21,10
HLB PAMINA 1,2023-03-24 08:14:05.797428+00:00,211748200,DB3450,0,,12,31,23,59,99,15,0,0,6
TITTERI             ,2023-03-24 08:14:05.825943+00:00,605116230,7THU   ,9685085,ITMDC               ,3,24,10,0,70,124,14,14,8
PUR SANG,2023-03-24 08:14:05.826605+00:00,244700704,PB6077,0,HELMOND,4,24,0,0,79,46,4,5,3
VAITERE 2           ,2023-03-24 08:14:05.827738+00:00,376461000,J8B6378,9226126,FRLEH               ,1,24,10,30,70,12,38,6,6
SHELENDO,2023-03-24 08:14:05.828474+00:00,205447490,OT4474,0,HERENT,0,0,24,60,79,33,6,3,2
VAITERE 2           ,2023-03-24 08:14:05.829224+00:00,376461000,J8B6378,9226126,FRLEH               ,1,24,10,30,70,12,38,6,6
VAITERE 2           ,2023-03-24 08:14:05.847161+00:00,376461000,J8B6378,9226126,FRLEH               ,1,24,10,30,70,12,38,6,6
SJERNAROY,2023-03-24 08:14:05.850886+00:00,259593000,LJTM,9192480,HEROY SOVIK,3,21,12,34,60,33,32,7,7
COLOR HYBRID,2023-03-24 08:14:05.854383+00:00,257465000,LEXD,9824289,NO SAD>SE SMD_NO SAD,3,24,11,30,60,50,110,17,16
SPARTACUS,2023-03-24 08:14:05.855493+00:00,257032170,LG6476,0,FISH FARM,1,1,1,1,79,4,10,2,4
VAITERE 2           ,2023-03-24 08:14:05.856306+00:00,376461000,J8B6378,9226126,FRLEH               ,1,24,10,30,70,12,38,6,6
SJERNAROY,2023-03-24 08:14:05.857701+00:00,259593000,LJTM,9192480,HEROY SOVIK,3,21,12,34,60,33,32,7,7
WILHELMINA,2023-03-24 08:14:05.859664+00:00,219381000,OUSS,0,,0,0,24,60,0,33,5,4,6
SPARTACUS,2023-03-24 08:14:05.860600+00:00,257032170,LG6476,0,FISH FARM,1,1,1,1,79,4,10,2,4
SJERNAROY,2023-03-24 08:14:05.881438+00:00,259593000,LJTM,9192480,HEROY SOVIK,3,21,12,34,60,33,32,7,7
VAITERE 2           ,2023-03-24 08:14:05.881656+00:00,376461000,J8B6378,9226126,FRLEH               ,1,24,10,30,70,12,38,6,6
SPARTACUS,2023-03-24 08:14:05.882159+00:00,257032170,LG6476,0,FISH FARM,1,1,1,1,79,4,10,2,4
NEPTUNE AVRA,2023-03-24 08:14:05.886468+00:00,538009923,V7A5346,8807155,LIVORNO,3,24,2,0,70,33,122,10,14
MARIA P,2023-03-24 08:14:05.910809+00:00,244660097,PE4614,0,2,0,0,0,0,80,73,11,2,8
CABO FROWARD        ,2023-03-24 08:14:05.912218+00:00,355321000,3FBX5  ,9311359,"CRISTOBAL,PANAMA    ",3,23,11,30,82,196,33,22,11
RAFAEL              ,2023-03-24 08:14:05.912856+00:00,351478000,HP7012 ,0,,0,0,24,60,70,28,5,3,7
GWEL A VO,2023-03-24 08:14:05.946390+00:00,228131000,FHIJ,9764300,,0,0,0,0,30,20,5,3,3
AS CAMELLIA,2023-03-24 08:14:05.948980+00:00,255806121,CQAA7,9314947,EGALY,3,25,9,0,73,177,46,21,9
STENA VISION        ,2023-03-24 08:14:06.005644+00:00,210231000,5BUE5  ,7907659,PLGDY-SEKAA-PLGDY   ,3,24,8,45,60,19,157,8,22
MZF BIBER,2023-03-24 08:14:06.008313+00:00,211014176,DA4176,0,246000,1,26,0,0,33,0,0,0,0
A.R.A. BOUCHARD     ,2023-03-24 08:14:06.009933+00:00,701834000,LODB   ,9572202,,12,31,3,0,90,32,51,6,6
GWEL A VO,2023-03-24 08:14:06.015772+00:00,228131000,FHIJ,9764300,,0,0,0,0,30,20,5,3,3
KEEWHIT,2023-03-24 08:14:06.036287+00:00,235008440,MGRK4,9286504,BELFAST,3,25,10,0,80,61,16,10,2
BRAVE               ,2023-03-24 08:14:06.037255+00:00,636022866,5LKU7  ,9335068,FLUSHING            ,3,23,4,0,80,150,33,13,19
VB RASANT           ,2023-03-24 08:14:06.039676+00:00,211783710,DIVX2  ,9763241,HAMBURG             ,3,12,6,0,52,12,12,6,5
BRAVE               ,2023-03-24 08:14:06.041497+00:00,636022866,5LKU7  ,9335068,FLUSHING            ,3,23,4,0,80,150,33,13,19
VB RASANT           ,2023-03-24 08:14:06.063937+00:00,211783710,DIVX2  ,9763241,HAMBURG             ,3,12,6,0,52,12,12,6,5
BRAVE               ,2023-03-24 08:14:06.064408+00:00,636022866,5LKU7  ,9335068,FLUSHING            ,3,23,4,0,80,150,33,13,19
FREUD               ,2023-03-24 08:14:06.064877+00:00,538007563,V7UV7  ,9804461,SKAW                ,3,16,15,0,80,240,36,26,22
RUSADIR,2023-03-24 08:14:06.092491+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:14:06.093731+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
RUSADIR,2023-03-24 08:14:06.094867+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
BRAVE               ,2023-03-24 08:14:06.095778+00:00,636022866,5LKU7  ,9335068,FLUSHING            ,3,23,4,0,80,150,33,13,19
A SULANA            ,2023-03-24 08:14:06.096529+00:00,248478000,9HB5800,1008657,PALMA               ,3,28,17,0,36,14,23,2,7
RUSADIR,2023-03-24 08:14:06.099120+00:00,210329000,5BWW5,9832119,GDYNIA,5,11,0,0,69,61,126,10,21
NAVIN EAGLE         ,2023-03-24 08:14:06.101091+00:00,538007990,V7LW4  ,9485186,GR SKG              ,3,23,15,0,70,93,21,11,6
BRAVE               ,2023-03-24 08:14:06.129920+00:00,636022866,5LKU7  ,9335068,FLUSHING            ,3,23,4,0,80,150,33,13,19
VAITERE 2           ,2023-03-24 08:14:06.135855+00:00,376461000,J8B6378,9226126,FRLEH               ,1,24,10,30,70,12,38,6,6
DEO-FAVENTE,2023-03-24 08:14:06.168712+00:00,244660563,,0,,0,0,24,60,79,71,9,6,2
FREUD               ,2023-03-24 08:14:06.236130+00:00,538007563,V7UV7  ,9804461,SKAW                ,3,16,15,0,80,240,36,26,22
CASTOR 02,2023-03-24 08:14:06.275482+00:00,227011100,FW 8036,7024524,TOULON,3,17,13,0,99,6,39,5,6
VOS BASE,2023-03-24 08:14:06.280757+00:00,245821000,PBNJ,9378046,NLDHR - R ANCHORAGE,3,24,7,40,79,15,56,8,8
ORGANZA,2023-03-24 08:14:06.345919+00:00,205386390,OT3863,0,ROTTERDAM,0,0,24,60,79,96,14,5,7
FREUD               ,2023-03-24 08:14:06.354624+00:00,538007563,V7UV7  ,9804461,SKAW                ,3,16,15,0,80,240,36,26,22
BAIA DA MAIA,2023-03-24 08:14:06.355106+00:00,204206750,CUCZ6 ,0,,0,0,24,60,30,0,0,0,0
LOS116              ,2023-03-24 08:14:06.382327+00:00,257097500,3YAE   ,0,TANANGER            ,0,0,0,0,50,11,6,2,3
STADT KINN          ,2023-03-24 08:14:06.382726+00:00,257067970,LFWE   ,9225720,RUBBENSTADNESET     ,3,13,13,0,52,13,21,6,5
